-917726,-151363,17962
-917262,-152580,17943
-917220,-150023,17954
-916503,-153641,17907
-916170,-149115,18001
-915363,-147799,18057
-915295,-159152,17968
-915275,-160448,17972
-915210,-157779,17961
-914645,-156490,17964
-914363,-146870,18037
-913343,-146018,18068
-910741,-145382,18017
-908868,-145211,17976
-906988,-143605,17954
-906801,-144691,18010
-906468,-147040,17953
-905253,-152296,17964
-904862,-149203,17947
-903983,-144828,17837
-903745,-141153,18064
-902358,-146051,17696
-901174,-140343,17983
-900728,-146600,17916
-899403,-147270,17956
-898127,-139324,18009
-895058,-137306,18007
-890855,-139158,17838
-887852,-140357,17901
-886776,-154171,18404
-883406,-149637,18494
-882996,-142423,18540
-881152,-145740,18718
-24310,33358,17786
-21892,34681,17922
-19704,35191,17908
-16515,20981,17855
-16110,34832,17948
-15816,34837,17916
-15729,35805,17943
-15496,35666,17943
-14674,31395,17927
-14586,40300,17916
-14404,31473,17853
-14299,21801,17886
-13858,31345,17871
-13388,33727,17920
-13100,28909,17793
-13091,31640,17979
-12774,10852,18032
-12771,28455,18241
-12756,31400,19129
-12756,33412,17956
-12560,31760,17916
-12536,39278,17963
-12403,32350,17956
-12364,39037,17886
-12285,30975,17928
-12255,32463,17956
-12170,29868,18261
-11920,33041,17954
-11914,22533,17931
-11887,27412,17961
-11866,34388,17957
-11802,45323,17876
-11740,34552,17957
-11688,22598,17800
-11548,33798,17938
-11458,31772,17962
-11343,29429,17953
-11333,33796,17938
-11294,27652,17899
-11269,11323,18031
-11207,22749,17774
-11177,25130,17927
-11041,30855,17943
-10957,33386,17954
-10944,26937,17952
-10890,26757,17952
-10763,51213,17986
-10722,36653,17968
-10671,28512,17945
-10657,28334,17945
-10557,35164,18041
-10547,34973,18041
-10390,25211,17930
-10350,32512,17945
-10336,29814,17907
-10327,25378,17930
-10192,24308,17964
-10070,36443,18084
-9942,34296,18001
-9839,33866,17990
-9721,20273,18078
-9673,27252,17947
-9663,51041,17928
-9632,32331,17965
-9398,28303,17964
-9393,31211,17965
-9342,31015,17965
-9313,22855,17972
-9303,28698,17919
-9296,24017,17968
-9219,35651,18057
-9075,33333,17967
-9032,48475,17912
-8922,25634,17961
-8802,50274,17928
-8747,11942,18030
-8677,26695,17964
-8641,49668,17862
-8641,49668,17862
-8597,34486,18049
-8580,37798,18070
-8576,37597,18070
-8537,49458,17912
-8511,35295,18064
-8493,12045,17915
-8382,39378,17879
-8362,20431,18021
-8343,20514,18021
-8329,34072,17988
-8272,37281,18056
-8256,50220,17929
-8224,21278,18051
-8142,36632,18068
-8140,21712,18016
-8120,32678,17984
-8071,15600,18024
-8062,36309,18037
-8014,24082,17975
-8012,32765,17984
-7983,19512,18054
-7969,12212,17998
-7906,38828,18039
-7842,22511,17948
-7841,13889,18121
-7815,28182,18004
-7714,22883,17974
-7713,25924,18009
